iter	Passed	Remaining
857	8196	1356
858	8205	1346
859	8214	1337
860	8223	1327
861	8232	1317
862	8241	1308
863	8250	1298
864	8259	1288
865	8268	1279
866	8277	1269
867	8286	1260
868	8297	1250
869	8311	1241
870	8320	1232
871	8329	1222
872	8338	1213
873	8350	1203
874	8362	1194
875	8372	1185
876	8381	1175
877	8390	1165
878	8399	1156
879	8408	1146
880	8417	1136
881	8426	1127
882	8435	1117
883	8444	1108
884	8453	1098
885	8462	1088
886	8471	1079
887	8480	1069
888	8489	1059
889	8498	1050
890	8506	1040
891	8515	1031
892	8524	1021
893	8533	1011
894	8542	1002
895	8555	993
896	8565	983
897	8575	974
898	8584	964
899	8593	954
900	8602	945
901	8611	935
902	8619	925
903	8628	916
904	8637	906
905	8646	897
906	8655	887
907	8663	877
908	8673	868
909	8681	858
910	8690	849
911	8699	839
912	8707	829
913	8716	820
914	8724	810
915	8732	800
916	8740	791
917	8751	781
918	8763	772
919	8773	762
920	8781	753
921	8791	743
922	8800	734
923	8812	724
924	8824	715
925	8833	705
926	8845	696
927	8856	687
928	8865	677
929	8876	668
930	8888	658
931	8897	649
932	8908	639
933	8918	630
934	8927	620
935	8938	611
936	8947	601
937	8959	592
938	8971	582
939	8986	573
940	8995	564
941	9007	554
942	9018	545
943	9027	535
944	9038	526
945	9048	516
946	9057	506
947	9067	497
948	9080	487
949	9088	478
950	9097	468
951	9105	459
952	9114	449
953	9122	439
954	9130	430
955	9139	420
956	9147	411
957	9155	401
958	9163	391
959	9173	382
960	9184	372
961	9196	363
962	9204	353
963	9214	344
964	9223	334
965	9232	324
966	9240	315
967	9249	305
968	9258	296
969	9266	286
970	9275	277
971	9284	267
972	9293	257
973	9302	248
974	9311	238
975	9320	229
976	9329	219
977	9338	210
978	9348	200
979	9358	190
980	9368	181
981	9381	171
982	9394	162
983	9408	152
984	9417	143
985	9427	133
986	9436	124
987	9446	114
988	9455	105
989	9464	95
990	9474	86
991	9482	76
992	9492	66
993	9501	57
994	9510	47
995	9519	38
996	9528	28
997	9537	19
998	9546	9
999	9554	0
